entry,max_r2,tem_des_sel_max
70,0.9072930181022429,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645]"
71,0.9072640789147907,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613]"
72,0.907278383193485,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698]"
73,0.9072558704778234,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250]"
74,0.9072465047627973,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288]"
75,0.9072448903276721,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594]"
76,0.9072583885068874,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096]"
77,0.9072901900663437,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154]"
78,0.9072902418190573,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924]"
79,0.9072705852291014,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664]"
80,0.9072831652291679,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137]"
81,0.9072459314780178,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116]"
82,0.907326356347665,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289]"
83,0.9072977220706697,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998]"
84,0.9072756742640204,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595]"
85,0.9073260440069529,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734]"
86,0.9073169182985045,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035]"
87,0.9072993402420632,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155]"
88,0.9073037327702158,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646]"
89,0.9072851694358871,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229]"
90,0.9072720795601592,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942]"
91,0.9072487828556592,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647]"
92,0.9073349388491806,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302]"
93,0.907304822243065,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828]"
94,0.9072585604866766,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303]"
95,0.9072721192275844,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303, 880]"
96,0.9072616088248777,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303, 880, 975]"
97,0.9072884578162177,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303, 880, 975, 846]"
98,0.9072572860385218,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303, 880, 975, 846, 1189]"
99,0.9073344105587661,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303, 880, 975, 846, 1189, 1117]"
100,0.9072375922210206,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358, 827, 751, 922, 923, 767, 645, 613, 698, 1250, 1288, 594, 1096, 1154, 924, 664, 1137, 1116, 1289, 998, 595, 734, 1035, 1155, 646, 1229, 942, 647, 1302, 828, 1303, 880, 975, 846, 1189, 1117, 881]"
